title,url,category,filetype,slide_count,publishing_consultancy,description
"1000+ Consulting Diagrams, Templates, Graphics & Icons",https://flevy.com/browse/marketplace/1000-consulting-diagrams-templates-graphics-and-icons-544,"PowerPoint Templates",PowerPoint,1150,"Operational Excellence Consulting","Developed by a Management Consultant with global experience at industry leaders like Microsoft and IBM, this comprehensive collection serves as your invaluable resource for enhancing productivity and crafting exceptional presentations."
"Corporate Strategy and Management Models",https://flevy.com/browse/marketplace/corporate-strategy-and-management-models-129,"PowerPoint Templates",PowerPoint,112,"PPT Lab","Designed by a firm of ex-consultants from McKinsey, E&Y, and Bearing Point, this presentation is compilation of PPT templates conveying 30 strategy & management models commonly used by management consultants for client projects."
"875+ High Impact Presentation Templates",https://flevy.com/browse/marketplace/875-high-impact-presentation-templates-2470,"PowerPoint Templates",PowerPoint,878,SlideKraft,"Elevate your presentations with 875+ high-impact PPT templates, crafted for clarity and engagement by industry experts. Ideal for professionals seeking to impress."
"The PPT Library - 600 Consulting Diagrams & Graphics",https://flevy.com/browse/marketplace/the-ppt-library-600-consulting-diagrams-and-graphics-483,"PowerPoint Templates",PowerPoint,630,"Enargeia Consulting","Access 600+ editable consulting diagrams and graphics for impactful presentations. Created by industry experts, enhance clarity and productivity in your visuals."
"IT Governance Frameworks",https://flevy.com/browse/marketplace/it-governance-frameworks-224,"PowerPoint Templates",PowerPoint,170,"Operational Excellence Consulting","Developed by an seasoned IT Governance Consultant with global experience at industry giants like Microsoft and IBM, this collection serves as your guide to understanding IT Governance Frameworks for effective IT management and governance."
"700+ High Quality Top Tier Consulting PPT Templates",https://flevy.com/browse/marketplace/700-high-quality-top-tier-consulting-ppt-templates-1583,"PowerPoint Templates",PowerPoint,726,"P-Square Partners","Access 700+ premium consulting PPT templates, crafted by industry experts, to elevate your presentations with data-driven visuals and strategic layouts."
"Consultasaurus PowerPoint Deck",https://flevy.com/browse/marketplace/consultasaurus-powerpoint-deck-1099,"PowerPoint Templates",PowerPoint,902,"Monster Templates","Enhance your presentations with the Consultasaurus PPT Deckâ€”900+ editable slides for PM, analytics, and strategy. Created by industry experts for impactful storytelling."
"Business Consulting PPT Templates",https://flevy.com/browse/marketplace/business-consulting-ppt-templates-1999,"PowerPoint Templates",PowerPoint,136,SlideKraft,"Elevate your presentations with 135 expert-designed PPT templates, crafted for clarity and impact by seasoned consultants. Ideal for strategic communication."
"Business Performance Improvement Models",https://flevy.com/browse/marketplace/business-performance-improvement-models-218,"PowerPoint Templates",PowerPoint,184,"Operational Excellence Consulting","Developed by a Business Improvement Consultant with global experience at industry giants like Microsoft, IBM and Panasonic, this collection serves as your resource for achieving transformative change and organizational excellence."
"Transformation Maps",https://flevy.com/browse/marketplace/transformation-maps-170,"PowerPoint Templates",PowerPoint,18,"PPT Lab","Explore our Transformation Maps PPT, designed for strategic planning by ex-McKinsey consultants. Align initiatives and track progress over 3-5 years effectively."
"Organization, Change & HR Models",https://flevy.com/browse/marketplace/organization-change-and-hr-models-616,"PowerPoint Templates",PowerPoint,171,"Operational Excellence Consulting","Developed by a seasoned Change Management Expert with a wealth of experience at industry giants like Microsoft, IBM & Panasonic, this collection serves as your resource for achieving transformative change and effective HR management."
"Project Management Essential Slides",https://flevy.com/browse/marketplace/project-management-essential-slides-7561,"PowerPoint Templates",PowerPoint,68,"Project in the Box","Our team, composed of former management consultants from top global corporations, leverages extensive project management and consulting experience to create precise, insightful, and impactful presentation templates."
"Complete Resource for Consulting Frameworks and Design Templates",https://flevy.com/browse/marketplace/complete-resource-for-consulting-frameworks-and-design-templates-445,"PowerPoint Templates",PowerPoint,368,STRATICX,"Explore 360+ pages of consulting frameworks and design templates, crafted for impactful analysis and presentations. Created by industry experts for professionals."
"Consultant's Toolkit - Professional Presentation Templates",https://flevy.com/browse/marketplace/consultants-toolkit-professional-presentation-templates-9190,"PowerPoint Templates",PowerPoint,157,"Project in the Box","Our team, composed of former management consultants from top global corporations, leverages extensive project management and consulting experience to create precise, insightful, and impactful presentation templates."
"Business Excellence Frameworks",https://flevy.com/browse/marketplace/business-excellence-frameworks-872,"PowerPoint Templates",PowerPoint,451,"Operational Excellence Consulting","Developed by a seasoned Business Excellence Expert with global experience at Microsoft, IBM and Panasonic, this comprehensive collection offers valuable insights into achieving transformative change and organizational excellence."
"Digital Transformation Frameworks",https://flevy.com/browse/marketplace/digital-transformation-frameworks-5447,"PowerPoint Templates",PowerPoint,91,"Operational Excellence Consulting","Developed by a Digital Strategy Consultant with global experience at Microsoft & IBM, this collection serves as your resource for Digital Transformation Frameworks, enabling organizational excellence and embracing the future of business."
"Strategy & Management Frameworks",https://flevy.com/browse/marketplace/strategy-and-management-frameworks-817,"PowerPoint Templates",PowerPoint,167,"Operational Excellence Consulting","Developed by a seasoned Strategy Consultant with extensive experience at industry giants like Microsoft, IBM and Panasonic, this collection serves as your resource for achieving transformative change and effective strategic planning."
"PowerPoint Maps of EMEA",https://flevy.com/browse/marketplace/powerpoint-maps-of-emea-53,"PowerPoint Templates",PowerPoint,49,"LearnPPT Consulting","These PowerPoint templates were compiled by former McKinsey, BCG, Deloitte, EY, & Capgemini consultants."
"Crawl Walk Run PowerPoint Template",https://flevy.com/browse/marketplace/crawl-walk-run-powerpoint-template-52,"PowerPoint Templates",PowerPoint,7,"LearnPPT Consulting","These PowerPoint templates were compiled by former McKinsey, BCG, Deloitte, EY, & Capgemini consultants."
"Leadership Theories",https://flevy.com/browse/marketplace/leadership-theories-874,"PowerPoint Templates",PowerPoint,166,"Operational Excellence Consulting","Developed by a seasoned Leadership Coach with global experience at industry leaders like Microsoft and IBM, this presentation is your guide to understanding and applying various leadership theories for effective leadership development."
"Consulting Presentation Time Saver",https://flevy.com/browse/marketplace/consulting-presentation-time-saver-691,"PowerPoint Templates",PowerPoint,72,"Documents & Files","Elevate your presentations with this comprehensive PPT template, crafted by industry experts. Save time while enhancing clarity and engagement with versatile chart formats."
"Change Management Models",https://flevy.com/browse/marketplace/change-management-models-1214,"PowerPoint Templates",PowerPoint,139,"Operational Excellence Consulting","Developed by a Change Management Expert with a wealth of experience at industry giants like Microsoft, IBM and Panasonic, this collection serves as your guide to achieving transformative change and enhancing stakeholder satisfaction."
"Road & Roadmap Diagrams",https://flevy.com/browse/flevypro/road-and-roadmap-diagrams-5693,"PowerPoint Templates",PowerPoint,16,"LearnPPT Consulting","Elevate your strategic planning with roadmap diagrams crafted by ex-McKinsey & Big 4 consultants. Enhance clarity and alignment in presentations."
"Innovation Management Frameworks",https://flevy.com/browse/marketplace/innovation-management-frameworks-5143,"PowerPoint Templates",PowerPoint,127,"Operational Excellence Consulting","Developed by an Innovation Consultant with a wealth of experience at Microsoft & IBM, this collection serves as your resource for Innovation Management Frameworks, fostering innovation excellence & enhancing stakeholder satisfaction."
"1000+ Editable Icons for PowerPoint Presentations",https://flevy.com/browse/marketplace/1000-editable-icons-for-powerpoint-presentations-3935,"PowerPoint Templates",PowerPoint,55,"Operational Excellence Consulting","Developed by a seasoned Management Consultant with global experience at industry giants like Microsoft & IBM, this collection of 1000+ editable icons is your ultimate tool for crafting impactful and professional PowerPoint presentations."
"Corporate Governance Frameworks",https://flevy.com/browse/marketplace/corporate-governance-frameworks-5355,"PowerPoint Templates",PowerPoint,113,"Operational Excellence Consulting","Developed by a Management Consultant with global experience at Microsoft and IBM, this collection serves as your resource for Corporate Governance Frameworks, fostering sustainability excellence and enhancing stakeholder satisfaction."
"Diagrams & Dashboards - Infographic Style PowerPoint Template",https://flevy.com/browse/marketplace/diagrams-and-dashboards-infographic-style-powerpoint-template-2545,"PowerPoint Templates",PowerPoint,218,Marketingdocs,"Elevate your presentations with this infographic-style PowerPoint template, crafted by a marketing specialist. Features 26 editable slides for impactful visual communication."
"PowerPoint Maps of Asia Pacific (APAC)",https://flevy.com/browse/marketplace/powerpoint-maps-of-asia-pacific-apac-40,"PowerPoint Templates",PowerPoint,21,"LearnPPT Consulting","These PowerPoint templates were compiled by former McKinsey, BCG, Deloitte, EY, & Capgemini consultants."
"Team Management Models",https://flevy.com/browse/marketplace/team-management-models-1212,"PowerPoint Templates",PowerPoint,128,"Operational Excellence Consulting","Developed by a Change Management Expert with a wealth of experience at industry giants like Microsoft, IBM and Panasonic, this collection serves as your guide to achieving transformative change and enhancing stakeholder satisfaction."
"Market Overview Slides",https://flevy.com/browse/marketplace/market-overview-slides-130,"PowerPoint Templates",PowerPoint,27,"PPT Lab","Explore a detailed market overview with expert insights on opportunities, competitive analysis, and strategic frameworks. Created by industry veterans."
"Customer Experience &#40;CX&#41; Management Models",https://flevy.com/browse/marketplace/customer-experience-cx-management-models-1941,"PowerPoint Templates",PowerPoint,148,"Operational Excellence Consulting","Crafted by a seasoned Customer Experience Expert with a wealth of experience at industry giants like Microsoft, IBM and Panasonic, this collection is your resource to mastering CX management models and elevating customer satisfaction."
"Leadership & Motivation Theories & Models",https://flevy.com/browse/marketplace/leadership-and-motivation-theories-and-models-1217,"PowerPoint Templates",PowerPoint,237,"Operational Excellence Consulting","Developed by a seasoned Leadership Coach with global experience at industry leaders like Microsoft & IBM, this presentation is your guide to understanding and applying various leadership and motivation theories for leadership development."
"Corporate Sustainability Frameworks",https://flevy.com/browse/marketplace/corporate-sustainability-frameworks-6367,"PowerPoint Templates",PowerPoint,130,"Operational Excellence Consulting","Developed by a Sustainability Consultant with global experience at Microsoft and IBM, this collection serves as your guide to Corporate Sustainability Frameworks, fostering sustainability excellence and enhancing stakeholder satisfaction."
"Relationship, Segment, & Network Diagram PowerPoint Templates",https://flevy.com/browse/marketplace/relationship-segment-and-network-diagram-powerpoint-templates-68,"PowerPoint Templates",PowerPoint,38,"LearnPPT Consulting","These PowerPoint templates were compiled by former McKinsey, BCG, Deloitte, EY, & Capgemini consultants."
"Timelines and Steps - 3D",https://flevy.com/browse/marketplace/timelines-and-steps-3d-1412,"PowerPoint Templates",PowerPoint,122,Marketingdocs,"Elevate your presentations with this 120-slide 3D Timelines and Steps deck, crafted for strategic clarity by industry experts. Fully customizable, projector-tested."
"Motivation Theories",https://flevy.com/browse/marketplace/motivation-theories-887,"PowerPoint Templates",PowerPoint,76,"Operational Excellence Consulting","Developed by a seasoned Leadership Coach with a wealth of experience at industry leaders like Microsoft and IBM, this presentation serves as your guide to understanding and applying various motivation theories for effective leadership."
"Core Consulting - PowerPoint Timesaver",https://flevy.com/browse/marketplace/core-consulting-powerpoint-timesaver-7560,"PowerPoint Templates",PowerPoint,68,"Project in the Box","Our team, composed of former management consultants from top global corporations, leverages extensive project management and consulting experience to create precise, insightful, and impactful presentation templates."
"Digital Transformation Diagrams (Volume I)",https://flevy.com/browse/flevypro/digital-transformation-diagrams-volume-i-3204,"PowerPoint Templates",PowerPoint,59,"LearnPPT Consulting","Explore comprehensive Digital Transformation diagrams crafted by ex-McKinsey and Big 4 consultants. Enhance strategies in Big Data, Blockchain, and Customer Journeys."
"Frequently Used Consulting Templates III",https://flevy.com/browse/marketplace/frequently-used-consulting-templates-iii-101,"PowerPoint Templates",PowerPoint,47,consultingtemplates,"Explore a comprehensive set of consulting templates designed for impactful presentations. Created by an experienced consultant, this resource enhances clarity and engagement."
"Management Consulting PowerPoint Diagrams",https://flevy.com/browse/marketplace/management-consulting-powerpoint-diagrams-1499,"PowerPoint Templates",PowerPoint,102,"Visual Time Value","Elevate your presentations with this PowerPoint library of consulting diagrams, crafted for clarity by industry experts. Ideal for impactful stakeholder communication."
"SWOT Diagrams & Slides 6",https://flevy.com/browse/marketplace/swot-diagrams-and-slides-6-1409,"PowerPoint Templates",PowerPoint,89,Marketingdocs,"Elevate your strategic presentations with these customizable SWOT slides, designed by industry experts. 88 projector-tested layouts for impactful analysis."
"Strategy Map Templates",https://flevy.com/browse/marketplace/strategy-map-templates-9320,"PowerPoint Templates",PowerPoint,32,"RadVector  Consulting","Developed by a team of security experts with global consulting experience at McKinsey, Deloitte, and Capgemini."
"Strategic Planning PowerPoint Template",https://flevy.com/browse/marketplace/strategic-planning-powerpoint-template-2356,"PowerPoint Templates",PowerPoint,78,Marketingdocs,"Elevate your strategic planning with this comprehensive PPT template, crafted by industry experts. Features 76 slides, including SWOT, BCG Matrix, and more."
"PPT Template for Updates + Case Study",https://flevy.com/browse/marketplace/ppt-template-for-updates-case-study-3466,"PowerPoint Templates",PowerPoint,24,"Clarity First ","&lt;McKinsey &gt; 3yrs on staff, 15 yrs freelance trainer & coach | &lt;Barbara Minto &gt; Approved | &lt;BCG&gt; training designer | Coaches at FX10 and ASX 10 | Startup founder | Author | C-suite Coach."
"Business Process Improvement Frameworks Reference Guide",https://flevy.com/browse/marketplace/business-process-improvement-frameworks-reference-guide-5654,"PowerPoint Templates",PowerPoint,484,"Operational Excellence Consulting","Developed by a Business Process Improvement Expert with a wealth of experience at industry giants like Microsoft and IBM,  this presentation serves as your ultimate guide to leveraging BPI Frameworks for enhancing operational excellence."
"Design Thinking Frameworks & Models",https://flevy.com/browse/marketplace/design-thinking-frameworks-and-models-2870,"PowerPoint Templates",PowerPoint,116,"Operational Excellence Consulting","Developed by a seasoned Design Thinking Expert with a wealth of experience at industry giants like Microsoft, IBM and Panasonic, this collection serves as your guide to achieving innovative solutions and transformative change."
"Lean Thinking Frameworks",https://flevy.com/browse/marketplace/lean-thinking-frameworks-1581,"PowerPoint Templates",PowerPoint,167,"Operational Excellence Consulting","Developed by a Certified Lean Six Sigma Black Belt with a wealth of experience at Microsoft, IBM and Panasonic, this comprehensive collection serves as your resource for achieving Operational Excellence through Lean Methodologies."
"Key Strategy Models",https://flevy.com/browse/marketplace/key-strategy-models-1648,"PowerPoint Templates",PowerPoint,153,"Operational Excellence Consulting","Developed by a seasoned Strategy Consultant with a wealth of experience at industry giants like Microsoft, IBM and Panasonic, this collection serves as your pathway to achieving transformative change and effective strategic planning."
"Training Within Industry &#40;TWI&#41; Frameworks",https://flevy.com/browse/marketplace/training-within-industry-twi-frameworks-2414,"PowerPoint Templates",PowerPoint,63,"Operational Excellence Consulting","Developed by a seasoned TWI Master Trainer with global experience at Microsoft, IBM and Panasonic, this collection serves as your resource for TWI Frameworks, enabling operational excellence and enhancing stakeholder satisfaction."
"Marketing Persona PowerPoint Template",https://flevy.com/browse/marketplace/marketing-persona-powerpoint-template-1657,"PowerPoint Templates",PowerPoint,89,Marketingdocs,"Elevate your marketing strategy with this comprehensive Buyer Persona PPT template. Created by industry experts, it features 12 customizable slides for clear persona visualization."
